"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category","category_number"
"008","Intestinal infection","001-009.99","",1,0,"infectious diseases",1
"008.5","Bacterial enteritis","001-009.99","Both",1,1,"infectious diseases",1
"008.51","Intestinal e.coli","001-009.99","Both",1,1,"infectious diseases",1
"008.52","Intestinal infection due to C. difficile","001-009.99","Both",1,1,"infectious diseases",1
"008.6","Viral Enteritis","001-009.99","Both",1,1,"infectious diseases",1
"008.7","Intestinal infection due to protozoa","001-009.99","Both",1,1,"infectious diseases",1
"010","Tuberculosis","010-041.99","",1,0,"infectious diseases",1
"031","Diseases due to other mycobacteria","010-041.99","",1,0,"infectious diseases",1
"031.1","Leprosy","010-041.99","Both",1,1,"infectious diseases",1
"038","Septicemia","010-041.99","",1,0,"infectious diseases",1
"038.1","Gram negative septicemia","010-041.99","Both",1,1,"infectious diseases",1
"038.2","Gram positive septicemia","010-041.99","Both",1,1,"infectious diseases",1
"038.3","Bacteremia","010-041.99","Both",1,1,"infectious diseases",1
"041","Bacterial infection NOS","010-041.99","",1,0,"infectious diseases",1
"041.1","Staphylococcus infections","010-041.99","Both",1,1,"infectious diseases",1
"041.11","Methicillin sensitive Staphylococcus aureus","010-041.99","Both",1,1,"infectious diseases",1
"041.12","Methicillin resistant Staphylococcus aureus","010-041.99","Both",1,1,"infectious diseases",1
"041.2","Streptococcus infection","010-041.99","Both",1,1,"infectious diseases",1
"041.21","Rheumatic fever / chorea","010-041.99","Both",1,1,"infectious diseases",1
"041.4","E. coli","010-041.99","Both",1,1,"infectious diseases",1
"041.8","H. pylori","010-041.99","Both",1,1,"infectious diseases",1
"041.9","Infection with drug-resistant microorganisms","010-041.99","Both",1,1,"infectious diseases",1
"053","Herpes zoster","050-079.99","",1,0,"infectious diseases",1
"053.1","Herpes zoster with nervous system complications","050-079.99","Both",1,1,"infectious diseases",1
"054","Herpes simplex","050-079.99","",1,0,"infectious diseases",1
"070","Viral hepatitis","050-079.99","Both",1,0,"infectious diseases",1
"070.1","Viral hepatitis A","050-079.99","Both",1,1,"infectious diseases",1
"070.2","Viral hepatitis B","050-079.99","Both",1,1,"infectious diseases",1
"070.3","Viral hepatitis C","050-079.99","Both",1,1,"infectious diseases",1
"070.4","Chronic hepatitis","050-079.99","Both",0,1,"infectious diseases",1
"070.9","Hepatitis NOS","050-079.99","Both",0,0,"infectious diseases",1
"071","Human immunodeficiency virus [HIV] disease","050-079.99","",1,0,"infectious diseases",1
"071.1","HIV infection, symptomatic","050-079.99","Both",1,1,"infectious diseases",1
"078","Viral warts & HPV","050-079.99","",1,0,"infectious diseases",1
"079","Viral infection","050-079.99","",1,0,"infectious diseases",1
"079.1","Varicella infection","050-079.99","Both",1,1,"infectious diseases",1
"079.2","Infectious mononucleosis","050-079.99","Both",1,1,"infectious diseases",1
"079.9","Viremia, NOS","050-079.99","Both",1,1,"infectious diseases",1
"080","Postoperative infection","080-082.99","",1,0,"infectious diseases",1
"081","Infection/inflammation of internal prosthetic device; implant; and graft","080-082.99","",1,0,"infectious diseases",1
"081.1","Graft-versus-host disease","080-082.99","Both",1,0,"infectious diseases",1
"081.11","Acute graft-versus-host disease","080-082.99","Both",1,0,"infectious diseases",1
"081.12","Chronic graft-versus-host disease","080-082.99","Both",1,0,"infectious diseases",1
"090","Sexually transmitted infections (not HIV or hepatitis)","090-092.99","",1,0,"infectious diseases",1
"090.2","Gonococcal infections","090-092.99","Both",1,1,"infectious diseases",1
"090.3","Venereal diseases due to Chlamydia trachomatis","090-092.99","Both",1,1,"infectious diseases",1
"1000","Burns","","Both",1,1,NULL,0
"1001","Foreign body injury","","Both",1,1,NULL,0
"1002","Symptoms concerning nutrition, metabolism, and development","","Both",1,1,NULL,0
"1003","Sudden death","","Both",1,1,NULL,0
"1004","Other signs and symptoms involving emotional state","","Both",1,1,NULL,0
"1005","Other symptoms","","Both",1,1,NULL,0
"1006","Crushing injury","","Both",1,1,NULL,0
"1007","Injury to blood vessels","","Both",1,1,NULL,0
"1008","Crushing or internal injury to organs","","Both",1,1,NULL,0
"1009","Injury, NOS","","",1,1,NULL,0
"1010","Other tests","","Both",1,1,NULL,0
"1011","Complications of surgical and medical procedures","","Both",1,1,NULL,0
"1012","Late effect","","Both",1,1,NULL,0
"1013","Asphyxia and hypoxemia","","Both",1,1,NULL,0
"1014","Effects of heat, cold and air pressure","","Both",1,1,NULL,0
"1015","Effects of other external causes","","Both",1,1,NULL,0
"1019","Other ill-defined and unknown causes of morbidity and mortality","","Both",1,1,NULL,0
"110","Dermatophytosis / Dermatomycosis","110-118.99","",1,0,"infectious diseases",1
"110.1","Dermatophytosis","110-118.99","Both",1,1,"infectious diseases",1
"110.11","Dermatophytosis of nail","110-118.99","Both",1,1,"infectious diseases",1
"110.12","Althete's foot","110-118.99","Both",1,1,"infectious diseases",1
"110.13","Dermatophytosis of the body","110-118.99","Both",1,1,"infectious diseases",1
"110.2","Dermatomycoses","110-118.99","Both",1,1,"infectious diseases",1
"1100","Family history","","Both",1,1,NULL,0
"112","Candidiasis","110-118.99","Both",1,0,"infectious diseases",1
"112.3","Candidiasis of skin and nails","110-118.99","Both",1,1,"infectious diseases",1
"117","Mycoses","110-118.99","",1,0,"infectious diseases",1
"117.1","Histoplasmosis","110-118.99","Both",1,1,"infectious diseases",1
"117.2","Coccidioidomycosis","110-118.99","Both",1,1,"infectious diseases",1
"117.3","Blastomycotic infection","110-118.99","Both",1,1,"infectious diseases",1
"117.4","Aspergillosis","110-118.99","Both",1,1,"infectious diseases",1
"130","Spirochetal infection","130-136.99","",1,0,"infectious diseases",1
"130.1","Lyme disease","130-136.99","Both",1,1,"infectious diseases",1
"131","Protozoan infection","130-136.99","Both",1,0,"infectious diseases",1
"132","Infestation (lice, mites)","130-136.99","",1,0,"infectious diseases",1
"132.1","Pediculosis and phthirus infestation","130-136.99","Both",1,1,"infectious diseases",1
"133","Arthropod-borne diseases","130-136.99","",1,0,"infectious diseases",1
"134","Helminthiases","130-136.99","",1,0,"infectious diseases",1
"134.1","Intestinal helminthiases","130-136.99","Both",1,1,"infectious diseases",1
"136","Other infectious and parasitic diseases","130-136.99","",1,0,"infectious diseases",1
"145","Cancer of mouth","140-149.99, 210-210.99","Both",1,0,"neoplasms",2
"145.1","Cancer of lip","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"145.2","Cancer of tongue","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"145.3","Cancer of major salivary glands","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"145.4","Cancer of the gums","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"145.5","Cancer of the mouth floor","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149","Cancer of larynx, pharynx, nasal cavities","140-149.99, 210-210.99","Both",1,0,"neoplasms",2
"149.1","Cancer of oropharynx","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149.2","Cancer of nasopharynx","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149.3","Cancer of hypopharynx","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149.4","Cancer of larynx","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149.5","Hx of malignant neoplasm of oral cavity and pharynx","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"149.9","Cancer of of nasal cavities","140-149.99, 210-210.99","Both",1,1,"neoplasms",2
"150","Cancer of esophagus","140-159.99, 210-211.99","",1,0,"neoplasms",2
"151","Cancer of stomach","140-159.99, 210-211.99","",1,0,"neoplasms",2
"153","Colorectal cancer","150-159.99, 208-208.99","Both",1,0,"neoplasms",2
"153.2","Colon cancer","150-159.99, 208-208.99","Both",1,1,"neoplasms",2
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99","Both",1,1,"neoplasms",2
"155","Cancer of liver and intrahepatic bile duct","140-159.99, 210-211.99","",1,0,"neoplasms",2
"155.1","Malignant neoplasm of liver, primary","140-159.99, 210-211.99","Both",1,1,"neoplasms",2
"157","Pancreatic cancer","140-159.99, 210-211.99","",1,0,"neoplasms",2
"158","Neoplasm of unspecified nature of digestive system","140-159.99, 210-211.99","Both",1,0,"neoplasms",2
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","140-159.99, 210-211.99","",1,0,"neoplasms",2
"159.2","Malignant neoplasm of small intestine, including duodenum","140-159.99, 210-211.99","Both",1,1,"neoplasms",2
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","140-159.99, 210-211.99","Both",1,1,"neoplasms",2
"159.4","Malignant neoplasm of retroperitoneum and peritoneum","140-159.99, 210-211.99","Both",1,1,"neoplasms",2
"164","Cancer of intrathoracic organs","160-165.99","",1,0,"neoplasms",2
"165","Cancer within the respiratory system","160-165.99","",1,0,"neoplasms",2
"165.1","Cancer of bronchus; lung","160-165.99","Both",1,1,"neoplasms",2
"170","Cancer of bone and connective tissue","170-171.99","",1,0,"neoplasms",2
"170.1","Bone cancer","170-171.99","Both",1,1,"neoplasms",2
"170.2","Cancer of connective tissue","170-171.99","Both",1,1,"neoplasms",2
"172","Skin cancer","172-173.99","",1,0,"neoplasms",2
"172.1","Melanomas of skin, dx or hx","172-173.99","Both",1,1,"neoplasms",2
"172.11","Melanomas of skin","172-173.99","Both",1,1,"neoplasms",2
"172.2","Other non-epithelial cancer of skin","172-173.99","Both",1,1,"neoplasms",2
"172.21","Basal cell carcinoma","172-173.99","Both",1,1,"neoplasms",2
"172.22","Squamous cell carcinoma","172-173.99","Both",1,1,"neoplasms",2
"172.3","Carcinoma in situ of skin","172-173.99","Both",1,1,"neoplasms",2
"173","Neoplasm of uncertain behavior of skin","172-173.99","Both",1,0,"neoplasms",2
"174","Breast cancer","174-184.99, 610-610.99","Both",1,0,"neoplasms",2
"174.1","Breast cancer [female]","174-184.99, 610-610.99","Female",1,1,"neoplasms",2
"174.11","Malignant neoplasm of female breast","174-184.99, 610-610.99","Female",1,1,"neoplasms",2
"174.2","Breast cancer [male]","174-184.99, 610-610.99","Male",1,1,"neoplasms",2
"174.3","Neoplasm of uncertain behavior of breast","174-184.99, 610-610.99","Both",1,1,"neoplasms",2
"175","Acquired absence of breast","174-184.99, 610-611.99","Female",1,0,"neoplasms",2
"180","Cervical cancer and dysplasia","174-184.99, 218-218.99, 792-792.99","Female",1,0,"neoplasms",2
"180.1","Cervical cancer","174-184.99, 218-218.99, 792-792.99","Female",1,1,"neoplasms",2
"180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","174-184.99, 218-218.99, 792-792.99","Female",1,1,"neoplasms",2
"182","Malignant neoplasm of uterus","174-184.99, 218-218.99","Female",1,0,"neoplasms",2
"184","Cancer of other female genital organs","174-184.99, 220-221.99","Female",1,0,"neoplasms",2
"184.1","Malignant neoplasm of ovary and other uterine adnexa","174-184.99, 220-221.99","Female",1,1,"neoplasms",2
"184.11","Malignant neoplasm of ovary","174-184.99, 220-221.99","Female",1,1,"neoplasms",2
"184.2","Cancer of other female genital organs","174-184.99, 220-221.99","Female",1,1,"neoplasms",2
"185","Cancer of prostate","185-187.99, 796-796.99, 600-602.99","Male",1,0,"neoplasms",2
"187","Cancer of other male genital organs","185-187.99, 222-222.99","Male",1,0,"neoplasms",2
"187.1","Malignant neoplasm of unspecified male genital organ","185-187.99, 222-222.99","Male",1,1,"neoplasms",2
"187.2","Malignant neoplasm of testis","185-187.99, 222-222.99","Male",1,1,"neoplasms",2
"187.8","Neoplasm of uncertain behavior of male genital organs","185-187.99, 222-222.99","Male",1,1,"neoplasms",2
"189","Cancer of urinary organs (incl. kidney and bladder)","188-189.99","",1,0,"neoplasms",2
"189.1","Cancer of kidney and renal pelvis","188-189.99","Both",1,1,"neoplasms",2
"189.11","Malignant neoplasm of kidney, except pelvis","188-189.99","Both",1,1,"neoplasms",2
"189.12","Malignant neoplasm of renal pelvis","188-189.99","Both",1,1,"neoplasms",2
"189.2","Cancer of bladder","188-189.99","Both",1,1,"neoplasms",2
"189.21","Malignant neoplasm of bladder","188-189.99","Both",1,1,"neoplasms",2
"189.4","Malignant neoplasm of other urinary organs","188-189.99","Both",1,1,"neoplasms",2
"190","Cancer of eye","224-225.99, 190-192.99","",1,0,"neoplasms",2
"191","Manlignant and unknown neoplasms of brain and nervous system","224-225.99, 190-192.99","",1,0,"neoplasms",2
"191.1","Cancer of brain and nervous system","224-225.99, 190-192.99","Both",1,1,"neoplasms",2
"191.11","Cancer of brain","224-225.99, 190-192.99","Both",1,1,"neoplasms",2
"193","Thyroid cancer","193-194.99, 226-227.99","",1,0,"neoplasms",2
"194","Cancer of other endocrine glands","193-194.99, 226-227.99","",1,0,"neoplasms",2
"195","Cancer, suspected or other","195-199.99","",1,0,"neoplasms",2
"195.1","Malignant neoplasm, other","195-199.99","Both",1,1,"neoplasms",2
"196","Radiotherapy","195-199.99","",1,0,"neoplasms",2
"197","Chemotherapy","195-199.99","",1,0,"neoplasms",2
"198","Secondary malignant neoplasm","195-199.99","",1,0,"neoplasms",2
"198.1","Secondary malignancy of lymph nodes","195-199.99","Both",1,1,"neoplasms",2
"198.2","Secondary malignancy of respiratory organs","195-199.99","Both",1,1,"neoplasms",2
"198.3","Secondary malignant neoplasm of digestive systems","195-199.99","Both",1,1,"neoplasms",2
"198.4","Secondary malignant neoplasm of liver","195-199.99","Both",1,1,"neoplasms",2
"198.5","Secondary malignancy of brain/spine","195-199.99","Both",1,1,"neoplasms",2
"198.6","Secondary malignancy of bone","195-199.99","Both",1,1,"neoplasms",2
"198.7","Secondary malignant neoplasm of skin","195-199.99","Both",1,1,"neoplasms",2
"199","Neoplasm of uncertain behavior","195-199.99","Both",1,0,"neoplasms",2
"199.4","Neurofibromatosis","195-199.99","Both",1,1,"neoplasms",2
"200","Myeloproliferative disease","200-204.99","",1,0,"neoplasms",2
"200.1","Polycythemia vera","200-204.99, 289-289.99","Both",1,1,"neoplasms",2
"201","Hodgkin's disease","200-204.99","",1,0,"neoplasms",2
"202","Cancer of other lymphoid, histiocytic tissue","200-204.99","",1,0,"neoplasms",2
"202.2","Non-Hodgkins lymphoma","200-204.99","Both",1,1,"neoplasms",2
"202.21","Nodular lymphoma","200-204.99","Both",1,1,"neoplasms",2
"202.22","Reticulosarcoma","200-204.99","Both",1,1,"neoplasms",2
"202.23","Lymphosarcoma","200-204.99","Both",1,1,"neoplasms",2
"202.24","Large cell lymphoma","200-204.99","Both",1,1,"neoplasms",2
"204","Leukemia","200-204.99","",1,0,"neoplasms",2
"204.1","Lymphoid leukemia","200-204.99","Both",1,1,"neoplasms",2
"204.11","Lymphoid leukemia, acute","200-204.99","Both",1,1,"neoplasms",2
"204.12","Lymphoid leukemia, chronic","200-204.99","Both",1,1,"neoplasms",2
"204.2","Myeloid leukemia","200-204.99","Both",1,1,"neoplasms",2
"204.21","Myeloid leukemia, acute","200-204.99","Both",1,1,"neoplasms",2
"204.22","Myeloid leukemia, chronic","200-204.99","Both",1,1,"neoplasms",2
"204.3","Monocytic leukemia","200-204.99","Both",1,1,"neoplasms",2
"204.4","Multiple myeloma","200-204.99","Both",1,1,"neoplasms",2
"208","Benign neoplasm of colon","153-153.99, 208-208.99","",1,0,"neoplasms",2
"209","Neuroendocrine tumors","209-209.99","",1,0,"neoplasms",2
"210","Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","",1,0,"neoplasms",2
"211","Benign neoplasm of other parts of digestive system","211-211.99, 150-159.99","",1,0,"neoplasms",2
"212","Benign neoplasm of respiratory and intrathoracic organs","212-212.99","",1,0,"neoplasms",2
"213","Benign neoplasm of bone and articular cartilage","210-229.99","",1,0,"neoplasms",2
"214","Lipoma","214-215.99","",1,0,"neoplasms",2
"214.1","Lipoma of skin and subcutaneous tissue","214-215.99","Both",1,1,"neoplasms",2
"215","Other benign neoplasm of connective and other soft tissue","214-215.99","",1,0,"neoplasms",2
"216","Benign neoplasm of skin","216-217.99","",1,0,"neoplasms",2
"216.1","Screening for malignant neoplasms of the skin","216-217.99","Both",0,0,"neoplasms",2
"217","Vascular hamartomas and non-neoplastic nevi","216-217.99","Both",1,0,"neoplasms",2
"217.1","Nevus, non-neoplastic","216-217.99","Both",1,1,"neoplasms",2
"218","Benign neoplasm of uterus","217-223.99, 180-184.99","Female",1,0,"neoplasms",2
"218.1","Uterine leiomyoma","217-223.99, 180-184.99","Female",1,1,"neoplasms",2
"218.2","Other benign neoplasm of uterus","217-223.99, 180-184.99","Female",1,1,"neoplasms",2
"220","Benign neoplasm of ovary","174-184.99, 217-221.99","Female",1,0,"neoplasms",2
"221","Benign neoplasm of other female genital organs","217-223.99, 174-184.99","Female",1,0,"neoplasms",2
"222","Benign neoplasm of male genital organs","185-187.99, 222-222.99","Male",1,0,"neoplasms",2
"223","Benign neoplasm of kidney and other urinary organs","210-229.99","",1,0,"neoplasms",2
"224","Benign neoplasm of eye","224-225.99, 190-192.99","Both",1,0,"neoplasms",2
"224.1","Benign neoplasm of eye, uveal","224-225.99, 190-192.99","Both",1,1,"neoplasms",2
"225","Benign neoplasm of brain and other parts of nervous system","224-225.99, 190-192.99","",1,0,"neoplasms",2
"225.1","Benign neoplasm of brain, cranial nerves, meninges","224-225.99, 190-192.99","Both",1,0,"neoplasms",2
"225.2","Benign neoplasm of spinal cord, meninges","224-225.99, 190-192.99","Both",1,0,"neoplasms",2
"226","Benign neoplasm of thyroid glands","193-194.99, 226-227.99","",1,0,"neoplasms",2
"227","Benign neoplasm of other endocrine glands and related structures","193-194.99, 226-227.99","",1,0,"neoplasms",2
"227.1","Benign neoplasm of adrenal gland","193-194.99, 226-227.99","Both",1,0,"neoplasms",2
"227.2","Benign neoplasm of parathyroid gland","193-194.99, 226-227.99","Both",1,0,"neoplasms",2
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","193-194.99, 226-227.99","Both",1,0,"neoplasms",2
