rxcui,atc_prod
202834,A07EC
202994,L01AA
203182,N05BB
203423,C08CA
203441,R01AC
203600,M04AA
204213,B02AB
657710,XXXX
202479,N05BA
616739,N04BC
405155,B01AA
2168766,XXXX
8536,S01CA
8701,N01BA
8704,N05AB
1310910,XXXX
8896,R05DA
8987,J04AK
9004,XXXX
9386,J05AC
9639,N04BD
9771,A11JC
9853,XXXX
860189,M03AX
891137,S01KA
1545043,XXXX
90540,XXXX
83515,C09CA
904507,V01AA
1535922,L01FG
281,J05AB
641,J01GB
733,J01CA
1111,XXXX
1151,A11JC
1588,B03AE
1712,M03AX
1362694,XXXX
1908,A12AA
1485048,XXXX
1095698,N02BF
352654,N06BA
353098,N07XX
358263,G04BE
353484,L04AB
354770,L04AG
356778,C01EB
356884,G04BE
1876381,L04AG
1309747,XXXX
61148,H01AC
1546447,XXXX
1745099,L04AC
1315124,XXXX
1370621,XXXX
1872251,L04AC
6606,D11AC
6719,N06DX
6835,H03BB
6837,B05BA
6873,A06AC
6876,C02AB
6980,J01AA
6984,C02DC
7067,XXXX
7076,XXXX
7240,J01MB
7242,N07BC
7396,C08CA
1311629,XXXX
7405,B03AE
7407,N07BA
7421,P01CC
7486,N01AX
7512,C01CA
7517,J01MA
7773,J01CF
2289011,XXXX
1426390,XXXX
7966,N06BA
8004,N05CA
1441403,L01BA
174742,B01AC
324026,R06AX
325646,C09XA
337535,L04AX
340705,XXXX
1008820,XXXX
253337,L01FG
121191,L01FA
1940636,XXXX
115264,M05BA
216731,D05AX
217944,D02AX
217956,D01AE
218248,N02CC
221062,B01AB
1151122,XXXX
720825,G04CA
1788946,XXXX
346164,XXXX
495881,L01EX
1364468,A16AX
2054252,A16AX
1544933,XXXX
72610,A10BG
72625,N06AX
1607975,B03AC
142431,G03GB
134547,L01AA
135779,L03AX
1599832,B06AC
141366,N02CC
1490053,C01CA
1665896,C10AX
1792776,L01FF
9919,XXXX
10114,L01AD
10154,M03AB
10180,J01EE
10318,N06DA
10323,XXXX
10324,L02BA
10737,N06AX
10795,D08AE
10798,A16AX
10898,B05BA
10991,XXXX
11115,B05BA
11248,B03BA
11289,B01AA
1534770,XXXX
1375949,R06AA
196457,H01CB
196502,N03AX
805452,B02BX
795082,L04AB
1426853,XXXX
235473,XXXX
1597258,L01FX
1599544,B01AF
27748,XXXX
28728,XXXX
29561,J01DH
30236,N02AA
32592,L01XA
35400,B03AE
35607,D11AC
37925,A08AB
40048,L01XA
645109,A10BA
662281,L01EA
1092437,L04AG
583099,N06DA
285056,N05AB
285228,XXXX
151578,A02BB
151612,N06BA
153010,M01AE
153165,C10AA
152322,A03AB
596702,J07AH
3966,R05CA
4328,N03AX
1370467,XXXX
1310123,XXXX
4488,L01BC
1310124,V09HX
4648,XXXX
1311190,XXXX
1372539,XXXX
4249,B02BD
4257,B02BD
2177,J01DB
2180,J01DB
2388,XXXX
2404,A10BB
2473,M01AX
2541,A02BA
2596,G03GB
2599,C02AC
1811178,XXXX
2714,A11GB
3002,L01AA
3008,L04AD
3100,L01DA
3446,XXXX
3538,R01AC
3541,C01BA
3628,C01CA
3637,R07AB
384379,XXXX
41127,C10AA
42316,L04AD
1375924,XXXX
47579,N04BC
51499,L01CE
52356,A11JB
52582,A07EC
40254,N03AG
40968,M01AB
42955,C01EX
261514,N07AX
262418,C09AA
265323,XXXX
1037046,B01AE
1429044,XXXX
1313233,XXXX
17611,XXXX
19884,G01AF
20493,XXXX
20610,R06AE
21949,M03BX
24698,L01BB
25689,A02AF
12488,G03DA
58827,N06AB
58927,C08CA
58930,R06AE
1927286,L04AB
60307,N04BX
82000,A06AA
714438,L01EX
314896,XXXX
316968,XXXX
316984,XXXX
2586068,J05AX
105694,B03XA
68092,H01CB
1427211,XXXX
2167553,XXXX
5486,XXXX
5487,C09DX
5653,S01AD
1426454,XXXX
5666,J06BA
2463933,XXXX
1483575,XXXX
6038,J04AC
797541,D08AX
1311375,XXXX
6313,V03AF
6448,N05AN
202740,N03AB
203012,M01AE
203576,R06AX
642274,D06AX
202384,R06AB
202462,P01BA
202488,M01AE
202559,L04AX
1242999,L01EK
641465,N06BA
404854,D10BA
8152,A08AA
8328,S01EB
8331,N05AG
8463,D06BB
8565,C03AA
8640,H02AB
8998,G04BX
9000,N07AA
9344,J05AP
9384,J04AB
1316076,XXXX
9778,XXXX
9143,A02BA
91344,XXXX
91818,R06AE
92170,A06AC
83929,XXXX
84108,A10BG
88249,R03DC
149,C07AB
376,H01AA
1311061,XXXX
596,N05BA
632,L01DC
743,A09AA
1256,L04AX
1311295,XXXX
1362901,XXXX
1114112,XXXX
352401,R06AX
358257,C03XA
358274,C02KX
357977,L01EX
62356,XXXX
62400,B03AE
61381,N05AH
56946,L01CD
57258,M03BX
1307304,L02BB
1307625,L01EA
1357542,L04AF
1659152,C10AX
1657018,XXXX
6623,XXXX
6672,P02CA
6676,R06AE
6759,N01BB
6854,D05BA
6922,P01AB
6932,D01AC
7005,L01DB
1360621,XXXX
7417,C08CA
7704,XXXX
1311279,XXXX
8013,C04AD
183379,N06DA
1798365,A05AA
226918,A08AB
231049,N02CC
321952,D11AH
253341,XXXX
214342,V03AE
214468,XXXX
215927,M01AH
215928,N06AB
218351,H05BA
220672,R06AA
224905,L01FD
484259,N02AJ
1303098,R03BB
