phenotype,phecode,category,node_name,node_id,score
Cancer of tongue,145.2,neoplasms,Chronic meningitis,21664006,1
Cancer of tongue,145.2,neoplasms,Excision of larynx,72791001,4
Cancer of tongue,145.2,neoplasms,Clinical von Reclinghausen's disease,92824003,3
Cancer of tongue,145.2,neoplasms,Hair plucking,17155009,1
Cancer of tongue,145.2,neoplasms,Carcinoma of cervix,285432005,3
Cancer of tongue,145.2,neoplasms,Cerebral herniation,49453006,1
Cancer of tongue,145.2,neoplasms,Croaky voice,50219008,4
Cancer of tongue,145.2,neoplasms,Radiographic imaging procedure,363680008,2
Cancer of tongue,145.2,neoplasms,Comedone,247467008,2
Cancer of tongue,145.2,neoplasms,Burning on urination,58250006,1
Cancer of tongue,145.2,neoplasms,Mental disease,74732009,1
Cancer of tongue,145.2,neoplasms,Fasciitis,36948007,1
Cancer of tongue,145.2,neoplasms,Malignant neoplasm of lung,93880001,4
Cancer of tongue,145.2,neoplasms,Neoplasm of lung,126713003,4
Cancer of tongue,145.2,neoplasms,Seborrheic wart,50563003,2
Cancer of tongue,145.2,neoplasms,Psychogenic seizures,191714002,1
Cancer of tongue,145.2,neoplasms,SCLC - Small cell lung cancer,254632001,4
Cancer of tongue,145.2,neoplasms,Head tilt,370532003,2
Cancer of tongue,145.2,neoplasms,Melanocytic naevus,400096001,3
Cancer of tongue,145.2,neoplasms,Granulomatosis with polyangiitis,195353004,2
Cancer of tongue,145.2,neoplasms,Bleeding peptic ulcer,64121000,2
Cancer of tongue,145.2,neoplasms,Gastroduodenal ulcer,13200003,2
Cancer of tongue,145.2,neoplasms,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis",77182004,1
Cancer of tongue,145.2,neoplasms,Cardiac infarction,22298006,1
Cancer of tongue,145.2,neoplasms,Colitis gravis,64766004,1
Cancer of tongue,145.2,neoplasms,Nasopharyngeal carcinoma,187692001,4
Cancer of tongue,145.2,neoplasms,NS - Nephrotic syndrome,52254009,1
Cancer of tongue,145.2,neoplasms,Acetaminophen overdose,295124009,1
Cancer of tongue,145.2,neoplasms,Emotional stress,442347009,2
Cancer of tongue,145.2,neoplasms,Tumor of mediastinum,94147001,1
